volumen,graduacion,productor,pais,etiqueta,notas de cata,url
75,"<0,5 %",Carl Jung (Alemania),Alemania,Vegano,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"0,5%",Carl Jung (Alemania),Alemania,Syrah,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5 %",Carl Jung (Alemania),Alemania,"Cabernet Sauvignon, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5 %",Carl Jung (Alemania),Alemania,"Merlot, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"0,5%",Carl Jung (Alemania),Alemania,No Disponible,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"0,5%",Carl Jung (Alemania),Alemania,Cabernet Sauvignon,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5 %",Carl Jung (Alemania),Alemania,"Chardonnay, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5 %",Carl Jung (Alemania),Alemania,"Riesling, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5 %",Oddbird International (Suecia),Suecia,"Chardonnay, Orgánico / Ecológico, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,0%,Oddbird International (Suecia),Suecia,"Orgánico / Ecológico, Sin saborizantes, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"0,5%",Oddbird International (Suecia),Suecia,No Disponible,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"0,5%",Oddbird International (Suecia),Suecia,Chardonnay,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5%",Oddbird International (Suecia),Suecia,Merlot,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5%",Oddbird International (Suecia),Suecia,Cabernet Sauvignon,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5%",Oddbird International (Suecia),Suecia,Riesling,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5%",Oddbird International (Suecia),Suecia,No Disponible,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5%",Oddbird International (Suecia),Suecia,"Bajo o Sin Calorías, Chardonnay, Orgánico / Ecológico","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,0%,Oddbird International (Suecia),Suecia,"Bajo o Sin Calorías, Orgánico / Ecológico, Sin saborizantes","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"0,0%",Princess (Italia),Italia,"Bajo o Sin Calorías, Natural, Sin saborizantes","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"0,3%",Kolonne Null (Alemania),Alemania,"Bajo o Sin Calorías, Exclusivo Blue Dolphin, Riesling, Sin gluten, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"<0,5%",Kolonne Null (Alemania),Alemania,"Bajo o Sin Calorías, Garnacha, Orgánico / Ecológico","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"0,0%",Producto de Aldea (Galicia-España),Galicia-España,Verdejo,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
75,"0,0%",Producto de Aldea (Galicia-España),Galicia-España,Tempranillo,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/
