calorias,proteinas,grasa,hidratos de carbono,azucar,sal
"19,4",0,0,"4,2","3,5","<0,1 g"
79kJ,"0,5",0,"4,8","4,2","<0,1 g"
"19,4",0,0,"4,2","3,5","<0,1 g"
"22,9",0,0,"4,7","4,0","<0,1 g"
95kJ,"0,5","0,3","5,6","4,6","<0,1 g"
95kJ,"0,5",0,"5,6","4,6","<0,1 g"
"20,1",0,0,"4,4,","4,0","<0,1 g"
18(7,0,0,"3,9","3,5","Sal:<0,1 g"
"19,5",0,0,"4,2","4,2","<0,1 g"
"18,3",0,0,"4,4","4,4"," <0,1 g"
88kJ,"0,5","0,3","4,8","4,2"," <0,1 g"
88kJ,"0,5",0,"4,8","4,2"," <0,1 g"
"78,4",0,0,"4,4","3,6"," <0,1 g"
"79,9","0,3",0,"4,7","3,7"," <0,1 g"
"80,3",0,0,"4,5","3,8"," <0,1 g"
80kJ,"0,3",0,"4,5","3,8"," <0,1 g"
80.k,0,0,4,4,"0,02 g"
"18,3",0,0,4,4,"<0,1 g"
12,<1,Grasas:<1,19,4,"<0,1 g"
81kJ,0,0,"2,9","2,9",0 g
80kJ,0,0,4,4,"0,02 g"
18(7,"< 0,02","<0,50","3,0","2,4","0,01 g"
18(7,"< 0,02","<0,50","3,0","2,4","0,01 g"
77kJ,0,0,"4,5","4,5","0,02 g"
43kc,0,0,"4,5","4,5","0,02 g"
77kJ,0,0,"4,5","4,5",0 g
308k,0,0,"18,1","18,1","0,02 g"
308k,0,0,"18,1","18,1","0,02 g"
73kJ,0,0,"4,3","4,3","0,02 g"
36kc,0,0,"4,3","4,3","0,02 g"
36kc,0,0,"4,3","4,3","0,02 g"
18(7,"< 0,o2","<0,50","2,6","2,0","0,01 g"
18(7,"< 0,o2","<0,50","2,6","2,0","0,01 g"
18(7,"< 0,o2","<0,50","2,6","2,0","0,01 g"
"22,4","<0,3",0,"5,5","5,5","<0,1 g"
12,<1,Grasas:<1,19,"5,5","<0,1 g"
20(8,0,0,4,4,0 g
"21,1",0,0,"4,7",4,"<0,1 g"
85kJ,0,0,"4,7",4,"<0,1 g"
18(7,0,0,4,4,"<0,1 g"
22(9,"< 0,5","<0,05",5,4,"<0,06 g"
"22,2","<0,3",0,"5,2","4,6","<0,1 g"
"21,1","<0,01","<0,01","4,7","4,7","<0,01 g"
"22,8",0,0,"5,4","4,7",0 g
79kJ,0,0,"2,7","2,7",0 g
20,"2,7",0,"6,1","2,3",0 g
24(1,"< 0,5","<0,05",5,"4,4","<0,06 g"
25(1,"< 0,5","<0,05",5,"4,5","<0,06 g"
64kJ,0,0,"2,4","2,4",0 g
32,"2,7",0,"6,1","3,5",0 g
"20,9",0,0,"4,9","4,9",0 g
79kJ,0,0,"2,9","2,9",0 g
17,0 g,0g,"2,9","2,9",0 g
70kJ,0,0,"4,1","4,1",0 g
12,0 g,Grasas:0g,"4,1","4,1",0 g
17,0,Grasas:0,42,"4,1","Sal:<0,1 g"
17,0,Grasas:0,42,"4,1","Sal:<0,1 g"
17,0 g,0g,42,"4,1","Sal:<0,1 g"
18,0 g,0g,42,"4,1","Sal:<0,1 g"
17,0 g,0g,42,"4,1","Sal:<0,1 g"
19,0 g,0g,42,"4,1","Sal:<0,1 g"
13,<1,Grasas:<1,17,"4,1","Sal:<0,1 g"
5,0 g,Grasas:0g,17,"4,1","Sal:<0,1 g"
